"","Front","Senior Full Stack Engineer","Full-stack","IC-3","N/A","Remote","EUR","60","76.5","93","","","","","",""
"","HomeBuddy","Senior PHP Developer","Backend","IC-3","N/A","Remote","USD","42","60","78","","","","","",""
"","EverlyRusher","Laravel Developer","Backend","IC-2","Barcelona","Remote","EUR","30","32.5","35","","","","","",""
"","CVC","Junior fullstack developer","Full-stack","IC-1","Barcelona","Remote","EUR","20","25","30","","","","","",""
"","Seqera","SW Engineer (Kubernetes & Container Technologies)","Devops","IC-3","Barcelona","Remote","EUR","55","60","65","","","","","",""
"","Seqera","Software Engineer (Nextflow)","Backend","IC-2","Barcelona","Remote","EUR","35","42.5","50","","","","","",""
"","Mitek Systems","S. Software Engineer","Backend","IC-3","N/A","Remote","EUR","50","55","60","","","","","",""
"","haddock app","Senior Tech Lead","Backend","IC-6","Barcelona","In Office","EUR","60","67.5","75","","","","","",""
"","VirtuE Emotiona AI","Senior Product Manager","Product","P-5","N/A","Remote","EUR","60","67","74","","","","","",""
"","LambdaLoopers","Full Stack Engineer (JS & Python)","Full-stack","IC-2","N/A","Remote","EUR","39","45","51","","","","","",""
"","Vueling","Data Engineer","Data","IC-2","Barcelona","Remote","EUR","40","42.5","45","","","","","",""
"","Xceed","DevOps Engineer","Devops","IC-2","N/A","Remote","EUR","45","52.5","60","","","","","",""
"","Gartner","DevOps Engineer","Devops","IC-2","Barcelona","In Office","EUR","50","55.5","61","","","","","",""
"","World Mobile","Product Manager","Product","P-4","N/A","Remote","EUR","40","42.5","45","","","","","",""
"","Mood","Full Stack","Full-stack","IC-2","N/A","Remote","EUR","96","108","120","","","","","",""
"","Palo Alto Networks","Senior SRE","Devops","IC-3","Barcelona","Remote","EUR","55","66","77","","","","","",""
"","Voodoo.io","Staff Backend Engineer","Backend","IC-4","N/A","Remote","EUR","90","105","120","","","","","",""
"","Zizeron.tech","Python Data Engineer (JR-MID)","Data","IC-1","N/A","Remote","EUR","32","34","36","","","","","",""
"","dLocal","QA Automation Engineer","QA","IC-2","N/A","Remote","EUR","50","60","70","","","","","",""
"","dLocal","Senior Java Engineer","Backend","IC-3","N/A","Remote","EUR","50","62.5","75","","","","","",""
"","haddock app","Senior Tech Lead","Backend","IC-6","Barcelona","Remote","EUR","60","67.5","75","","","","","",""
"","CollectiveMindsRad","Senior Backend Developer","Backend","IC-3","Barcelona","Remote","EUR","32","46","60","","","","","",""
"","GATHER Foundation","Backend Developer/Health Data Engineer","Backend","IC-2","Barcelona","In Office","EUR","35","42.5","50","","","","","",""
"","Kelea","Tech Lead","Backend","IC-6","N/A","Remote","EUR","45","52.5","60","","","","","",""
"","PromoFarma/DocMorris","Data Engineer","Data","IC-2","Barcelona","Remote","EUR","30","37.5","45","","","","","",""
"","ExpressVPN","Senior Javascript Engineer","Frontend","IC-3","N/A","Remote","EUR","50","65","80","","","","","",""
"","ExpressVPN","Senior Windows (Desktop) Engineer","Backend","IC-3","N/A","Remote","EUR","60","70","80","","","","","",""
"","Adevinta","Android Engineer","Mobile","IC-2","Barcelona","In Office","EUR","50","55","60","","","","","",""
"","Adevinta","Java Backend Engineer","Backend","IC-2","Barcelona","In Office","EUR","50","55","60","","","","","",""
"","Trifork","SAP Technology Specialist","Database","IC-2","Barcelona","In Office","EUR","42","46","50","","","","","",""
"","PromoFarma/Docmorris","Senior React Native Developer","Mobile","IC-3","Barcelona","Remote","EUR","35","37.5","40","","","","","",""
"","Factorial HR","Tech Talent Acquisition Specialist","Other","Other","Barcelona","In Office","EUR","29","30","31","","","","","",""
"","Last.app","Frontend Lead","Frontend","IC-6","Barcelona","Remote","EUR","60","70","80","","","","","",""
"","ExpressVPN","Senior DevOps Engineer","Devops","IC-3","N/A","Remote","EUR","50","65","80","","","","","",""
"","Last.app","Senior Frontend developer","Frontend","IC-3","Barcelona","Remote","EUR","60","70","80","","","","","",""
